-0.05945749, 0.3507817, 2.123296, SpineBase
-0.04187466, 0.6181692, 2.024697, SpineMid
-0.0259565, 0.8741239, 1.918781, Neck
-0.01543333, 0.9710485, 1.872254, Head
-0.1818932, 0.7635297, 1.883388, ShoulderLeft
-0.1700952, 0.5197616, 1.81812, ElbowLeft
-0.09109852, 0.3512203, 1.745574, WristLeft
-0.05206478, 0.2820509, 1.685927, HandLeft
0.1294662, 0.7550007, 1.905819, ShoulderRight
0.1239517, 0.5530339, 1.860611, ElbowRight
0.02367384, 0.3647146, 1.738267, WristRight
-0.02802889, 0.2978243, 1.679675, HandRight
-0.1297957, 0.3481257, 2.081545, HipLeft
-0.1996271, 0.1207043, 1.857669, KneeLeft
-0.2266987, -0.2661491, 1.828864, AnkleLeft
-0.2431875, -0.3808145, 1.726821, FootLeft
0.01279046, 0.3418375, 2.094411, HipRight
0.09771265, 0.1206412, 1.875828, KneeRight
0.1235842, -0.2873661, 1.842702, AnkleRight
0.1414331, -0.3995719, 1.736808, FootRight
-0.02992613, 0.8123581, 1.946739, SpineShoulder
-0.0330343, 0.2465071, 1.662537, HandTipLeft
-0.04825292, 0.2342165, 1.68225, ThumbLeft
-0.05224261, 0.2545632, 1.648892, HandTipRight
-0.01995626, 0.2741722, 1.628727, ThumbRight
-0.0596862, 0.3507662, 2.123517, SpineBase
-0.04189322, 0.6180328, 2.024824, SpineMid
-0.02550805, 0.8735172, 1.918586, Neck
-0.01447377, 0.9704736, 1.871987, Head
-0.1814091, 0.7634476, 1.882939, ShoulderLeft
-0.1685009, 0.5186269, 1.816999, ElbowLeft
-0.08939485, 0.3498457, 1.743927, WristLeft
-0.050718, 0.2801482, 1.686577, HandLeft
0.1301508, 0.7537655, 1.905545, ShoulderRight
0.1228447, 0.550068, 1.858779, ElbowRight
0.02405126, 0.3649824, 1.737037, WristRight
-0.02573157, 0.2991132, 1.679447, HandRight
-0.1300552, 0.3482201, 2.081714, HipLeft
-0.1993656, 0.1231989, 1.85908, KneeLeft
-0.22666, -0.2660671, 1.82884, AnkleLeft
-0.2431552, -0.3807569, 1.726839, FootLeft
0.01258331, 0.3416944, 2.0947, HipRight
0.09766782, 0.1206907, 1.875972, KneeRight
0.1235998, -0.2874483, 1.842676, AnkleRight
0.1414509, -0.3996671, 1.736807, FootRight
-0.02964724, 0.8118714, 1.946713, SpineShoulder
-0.03235794, 0.2460817, 1.661308, HandTipLeft
-0.05167886, 0.2362064, 1.685059, ThumbLeft
-0.04989696, 0.2551819, 1.64939, HandTipRight
-0.01600923, 0.2751719, 1.635684, ThumbRight
-0.0592908, 0.3506801, 2.123811, SpineBase
-0.04170814, 0.6179818, 2.025019, SpineMid
